City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,kodiak,57.79,-152.4072,285.88,76,100,4.63,US,1690224977
179,argo,37.6333,22.7333,304.14,54,0,0.76,GR,1690225183
180,salekhard,66.53,66.6019,293.07,59,100,2.35,RU,1690225197
181,kenai,60.5544,-151.2583,288.23,86,100,5.14,US,1690225489
182,saint-philippe,-21.3585,55.7679,293.92,84,38,3.29,RE,1690225490
183,princeville,45.7668,-61.2985,302.95,63,0,5.66,CA,1690225143
184,al majaridah,19.1236,41.9111,307.94,25,100,0.95,SA,1690225490
185,hailar,49.2,119.7,289.32,75,65,1.73,CN,1690225491
186,floro,61.5996,5.0328,289.19,82,100,1.03,NO,1690225491
187,remire-montjoly,4.9167,-52.2667,303.17,70,20,1.03,GF,1690225015
188,ratnapura,6.6828,80.3992,297.05,95,100,0.95,LK,1690225492
189,tura,25.5198,90.2201,297.01,95,100,2.17,IN,1690225492
190,lycksele,64.5954,18.6735,289.08,82,100,2.06,SE,1690225492
191,tiksi,71.6872,128.8694,276.72,83,20,1.86,RU,1690225492
192,hithadhoo,-0.6,73.0833,301.53,78,100,6.85,MV,1690225027
193,vezirkopru,41.1436,35.4547,294.42,88,8,1.65,TR,1690225493
194,roma,43.2128,-75.4557,300.42,69,81,2.46,US,1690225323
195,xiaoshi,41.2971,124.1209,293.6,98,52,1.91,CN,1690225493
196,kristiansund,63.1115,7.732,289.18,72,75,6.17,NO,1690225493
197,sur,22.5667,59.5289,302.47,72,100,0.3,OM,1690225494
198,promissao,-21.5367,-49.8581,303.24,23,0,0.34,BR,1690225494
199,pangai,-19.8,-174.35,292.21,82,20,1.03,TO,1690225494
200,volodarskiy,46.4013,48.5409,296.12,65,100,3.34,RU,1690225494
201,ta`u,-14.2336,-169.5144,299.17,72,89,5.37,AS,1690225062
202,crane,31.3974,-102.3501,310.8,16,0,5.62,US,1690225081
203,jabor,5.921,169.6434,301.27,80,99,5.98,MH,1690225494
204,christchurch,-43.5333,172.6333,278.66,94,100,0.89,NZ,1690225384
205,bereznik,62.8551,42.7072,286.37,93,99,1.16,RU,1690225495
206,ishigaki,24.3448,124.1572,302.22,84,75,7.2,JP,1690225495
207,qui nhon,13.7667,109.2333,298.59,88,100,1.56,VN,1690225495
208,lae,-6.7221,146.9847,297.27,92,100,0.53,PG,1690225495
209,palu,-0.8917,119.8707,297.24,96,31,0.78,ID,1690225495
210,sake,-1.5736,29.045,293.12,72,98,0.28,CD,1690225496
211,north bend,43.4065,-124.2243,299.22,68,0,4.63,US,1690225496
212,ak'ordat,15.5486,37.8867,307.07,37,87,3.4,ER,1690225496
213,betio village,1.358,172.9211,298.17,77,22,4.57,KI,1690225496
214,coahuayana de hidalgo,18.7,-103.6583,304.83,60,100,2.34,MX,1690225496
215,chhor,25.5167,69.7667,303.59,74,100,6.43,PK,1690225496
216,carutapera,-1.195,-46.02,301.31,76,8,3.41,BR,1690225199
217,birjand,32.8663,59.2211,300.41,12,0,2.06,IR,1690225497
218,gadzhiyevo,69.2551,33.3362,282.44,97,100,6.03,RU,1690224941
219,weimar,50.9833,11.3167,292.14,90,4,0.89,DE,1690225283
220,tralee,52.2704,-9.7026,286.95,81,100,3.47,IE,1690225497
221,le vauclin,14.5452,-60.8388,302.18,79,75,8.75,MQ,1690225497
222,huilong,31.8111,121.655,300.89,91,1,5.96,CN,1690225497
223,sultanah,24.4926,39.5857,311.4,11,0,3.6,SA,1690225498
224,martapura,-3.4167,114.85,296.2,100,92,0.51,ID,1690225498
225,st. john's,47.5649,-52.7093,298.3,83,75,8.23,CA,1690225243
226,karratha,-20.7377,116.8463,289.11,54,0,6.17,AU,1690224914
227,callao,-12.0667,-77.15,297.31,53,20,5.66,PE,1690225498
228,georgetown,5.4112,100.3354,300.38,86,20,1.03,MY,1690225241
229,evergreen,39.6333,-105.3172,307.13,25,62,2.24,US,1690225047
230,humaita,-7.5061,-63.0208,310.16,22,8,1.48,BR,1690225499
